,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SYTL1,6.63E-08,0.75103759,0.346,0.158,0.000908935,5,SYTL1
ATP5E1,6.97E-08,0.41077898,0.951,0.739,0.000955322,5,ATP5E
PSMD9,7.76E-08,0.502791005,0.383,0.172,0.001064537,5,PSMD9
LAP31,7.77E-08,0.746366466,0.321,0.145,0.001066081,5,LAP3
CCDC12,7.84E-08,1.067368835,0.469,0.233,0.001075758,5,CCDC12
TANK,7.93E-08,0.57425016,0.265,0.107,0.001086853,5,TANK
SAMHD11,8.32E-08,0.520343083,0.463,0.229,0.00114083,5,SAMHD1
FAM49B,8.94E-08,0.393780946,0.543,0.287,0.00122601,5,FAM49B
ATP5EP21,1.17E-07,0.596940768,0.512,0.267,0.001599143,5,ATP5EP2
LCP11,1.17E-07,0.637948781,0.636,0.371,0.001599627,5,LCP1
PPP4C1,1.22E-07,0.535457051,0.531,0.276,0.001674149,5,PPP4C
PSMD4,1.26E-07,0.657123968,0.525,0.27,0.001732869,5,PSMD4
BST21,1.28E-07,0.526381937,0.747,0.43,0.001758385,5,BST2
UBE2B,1.33E-07,1.284032044,0.321,0.141,0.001821438,5,UBE2B
COX6A1P2,1.73E-07,0.72501467,0.37,0.177,0.002377494,5,COX6A1P2
Sep 91,1.96E-07,0.519484358,0.574,0.323,0.002689714,5,Sep 09
ARF51,2.00E-07,0.665563918,0.519,0.284,0.002737814,5,ARF5
CYTH4,2.05E-07,1.338779101,0.278,0.122,0.002814742,5,CYTH4
HERPUD11,2.08E-07,0.467827984,0.407,0.2,0.002854105,5,HERPUD1
COX7A2,2.14E-07,0.550996122,0.654,0.384,0.002935795,5,COX7A2
PFDN51,2.15E-07,0.258211224,0.988,0.92,0.002947216,5,PFDN5
CHCHD5,2.23E-07,0.536905737,0.309,0.137,0.003059327,5,CHCHD5
TXNL1,2.26E-07,0.417538611,0.37,0.169,0.003099077,5,TXNL1
CMTM7,2.29E-07,0.335512827,0.401,0.189,0.003138261,5,CMTM7
UQCR101,2.57E-07,0.426391113,0.605,0.332,0.00352173,5,UQCR10
FIBP1,2.58E-07,0.670955699,0.34,0.162,0.003537307,5,FIBP
CLTB1,2.62E-07,0.481588937,0.377,0.179,0.003599646,5,CLTB
CHCHD2,2.66E-07,0.394445189,0.92,0.7,0.003644621,5,CHCHD2
ADK,2.81E-07,0.556365139,0.259,0.108,0.003859846,5,ADK
GYG1,2.87E-07,0.308562325,0.253,0.105,0.003932527,5,GYG1
ZNHIT11,3.03E-07,0.468957593,0.5,0.261,0.004159306,5,ZNHIT1
ADI1,3.63E-07,0.52455123,0.321,0.148,0.004975457,5,ADI1
PDCL3,3.70E-07,0.727057456,0.265,0.114,0.005067849,5,PDCL3
NDUFS61,3.71E-07,0.516693808,0.432,0.218,0.005086318,5,NDUFS6
NDUFB6,4.24E-07,1.275097458,0.278,0.122,0.005812373,5,NDUFB6
RP11-347P5.1,4.66E-07,0.643351641,0.278,0.123,0.006396733,5,RP11-347P5.1
TADA3,4.75E-07,0.6365583,0.265,0.113,0.006515463,5,TADA3
PSMC2,4.96E-07,0.610931258,0.296,0.132,0.006798379,5,PSMC2
C1orf431,5.20E-07,0.667049268,0.42,0.215,0.00712744,5,C1orf43
TBCB,5.67E-07,0.669844805,0.537,0.292,0.00777554,5,TBCB
KDELR2,6.12E-07,0.53906894,0.346,0.168,0.008386994,5,KDELR2
NDUFA7.1,6.21E-07,0.437879529,0.327,0.151,0.00851618,5,NDUFA7.1
MYADM1,6.28E-07,0.311924996,0.37,0.179,0.008607441,5,MYADM
ADAR,6.63E-07,1.018343448,0.346,0.17,0.009098371,5,ADAR
TMC6,7.18E-07,0.558582901,0.284,0.127,0.009846673,5,TMC6
MT-ND31,7.23E-07,0.383817645,0.401,0.193,0.009919624,5,MT-ND3
GLUD1,7.40E-07,0.967044752,0.272,0.12,0.010154914,5,GLUD1
NDUFC1,7.41E-07,0.623160656,0.272,0.121,0.010160837,5,NDUFC1
PSMB8,7.80E-07,0.260593873,0.722,0.443,0.010691869,5,PSMB8
RASGRP21,8.52E-07,0.341559574,0.438,0.23,0.011684886,5,RASGRP2
CRIP12,9.06E-07,0.450544156,0.599,0.355,0.012427019,5,CRIP1
PSENEN,9.53E-07,0.612020212,0.29,0.131,0.013064551,5,PSENEN
CALM3,1.04E-06,0.683575244,0.605,0.348,0.014297333,5,CALM3
LRPAP1,1.09E-06,0.54135693,0.346,0.17,0.014994401,5,LRPAP1
UBE2E3,1.19E-06,0.653351134,0.259,0.114,0.016324392,5,UBE2E3
ANAPC111,1.54E-06,0.312047608,0.463,0.233,0.021176038,5,ANAPC11
PRDX3,1.68E-06,0.262331051,0.278,0.126,0.023073733,5,PRDX3
ERCC1,1.83E-06,0.961507842,0.253,0.11,0.025116654,5,ERCC1
MYH9,1.90E-06,0.428639583,0.364,0.178,0.026068727,5,MYH9
SSBP4,2.04E-06,0.390282967,0.265,0.117,0.027967431,5,SSBP4
RHEB,2.04E-06,0.555946497,0.284,0.132,0.027976337,5,RHEB
LMAN2,2.16E-06,0.260467719,0.469,0.248,0.029596892,5,LMAN2
NDUFB71,2.32E-06,0.312280832,0.525,0.271,0.031877992,5,NDUFB7
OSTF11,2.57E-06,0.652649941,0.512,0.298,0.035226175,5,OSTF1
TLN1,2.60E-06,0.592564353,0.259,0.118,0.035588966,5,TLN1
GNAS1,2.60E-06,0.451924599,0.512,0.286,0.035646489,5,GNAS
BIN21,2.76E-06,0.311280854,0.605,0.354,0.03779673,5,BIN2
CD522,2.78E-06,0.251654493,0.975,0.89,0.038073978,5,CD52
COMT1,3.09E-06,0.678616621,0.309,0.147,0.0423327,5,COMT
PHPT11,3.13E-06,0.292046529,0.321,0.154,0.042982533,5,PHPT1
CD44,3.17E-06,0.323926145,0.698,0.447,0.043405713,5,CD44
NDUFV2,3.21E-06,0.4523218,0.494,0.268,0.043959212,5,NDUFV2
LSMD11,3.25E-06,0.737008791,0.34,0.166,0.044569736,5,LSMD1
SNRPD3,3.26E-06,0.592098668,0.34,0.168,0.044652978,5,SNRPD3
SQRDL,3.28E-06,0.544465256,0.284,0.135,0.045004729,5,SQRDL
RNF213,3.57E-06,0.763627943,0.414,0.215,0.048922951,5,RNF213
MIEN1,3.61E-06,0.534328752,0.346,0.171,0.049531973,5,MIEN1
SELT,3.62E-06,0.495466231,0.531,0.286,0.049659231,5,SELT
CDK2AP2,3.62E-06,0.45828451,0.315,0.15,0.049699826,5,CDK2AP2
TWF2,3.63E-06,0.477764559,0.346,0.173,0.049783049,5,TWF2
ARF11,3.65E-06,0.297639164,0.741,0.436,0.050022352,5,ARF1
ZFP361,3.78E-06,0.353519217,0.87,0.695,0.051787575,5,ZFP36
NDUFA121,4.06E-06,0.415628624,0.401,0.21,0.05572611,5,NDUFA12
VIMP,4.16E-06,0.483679468,0.296,0.143,0.0570093,5,VIMP
TCF25,4.21E-06,0.703228664,0.444,0.242,0.057790154,5,TCF25
HTATIP2,4.24E-06,0.418886665,0.259,0.117,0.058165788,5,HTATIP2
MKRN1,4.63E-06,0.522368376,0.377,0.198,0.063432854,5,MKRN1
ENO1,4.72E-06,0.419423332,0.784,0.551,0.064730208,5,ENO1
AMICA11,5.73E-06,0.41480169,0.457,0.251,0.078574755,5,AMICA1
PMAIP1,6.00E-06,0.386661654,0.265,0.124,0.082346748,5,PMAIP1
TUBB4B,6.16E-06,0.482595555,0.272,0.126,0.084465902,5,TUBB4B
PSMC4,6.43E-06,0.79825142,0.327,0.158,0.088114726,5,PSMC4
CCDC115,6.60E-06,0.284976547,0.309,0.153,0.090497837,5,CCDC115
NDUFS71,6.87E-06,0.534002215,0.494,0.28,0.094274371,5,NDUFS7
PCMT1,6.90E-06,0.263155757,0.414,0.215,0.094688617,5,PCMT1
RAB2A,6.93E-06,0.65952247,0.321,0.16,0.094991118,5,RAB2A
NDUFA22,7.10E-06,0.280690919,0.457,0.245,0.097327318,5,NDUFA2
SAP18,7.45E-06,0.39491151,0.735,0.462,0.102156908,5,SAP18
ICAM3,7.67E-06,0.401705168,0.667,0.407,0.105215701,5,ICAM3
TMEM9B,7.85E-06,0.270293857,0.358,0.18,0.10759212,5,TMEM9B
PSMB21,7.91E-06,0.529387687,0.389,0.206,0.108435951,5,PSMB2
CAPZA1,8.01E-06,0.388869096,0.327,0.161,0.109883056,5,CAPZA1
ATP6V0E1,8.03E-06,0.40221599,0.833,0.547,0.110146141,5,ATP6V0E1
CHMP2A1,8.50E-06,0.511583454,0.451,0.252,0.116629935,5,CHMP2A
TMBIM4.1,8.73E-06,0.275874336,0.494,0.278,0.119690412,5,TMBIM4.1
ACTG12,9.02E-06,0.251715343,0.981,0.856,0.123752833,5,ACTG1
ATP6AP2,9.34E-06,0.534686114,0.438,0.241,0.128077292,5,ATP6AP2
OTUB1,1.01E-05,0.294663165,0.309,0.152,0.138757992,5,OTUB1
SHFM1,1.09E-05,0.415640983,0.377,0.191,0.149061318,5,SHFM1
NDUFA4,1.12E-05,0.334008483,0.735,0.514,0.153284122,5,NDUFA4
DECR1,1.15E-05,0.527852267,0.34,0.176,0.157081114,5,DECR1
GRB21,1.34E-05,0.361039416,0.34,0.174,0.183195218,5,GRB2
CHMP3,1.39E-05,0.468907807,0.327,0.164,0.191261635,5,CHMP3
AHNAK1,1.42E-05,0.552725672,0.475,0.262,0.194183599,5,AHNAK
CHMP5,1.43E-05,0.429344209,0.395,0.21,0.1964868,5,CHMP5
BSG,1.49E-05,0.274022469,0.438,0.237,0.204855633,5,BSG
RBCK1,1.54E-05,0.678367401,0.377,0.197,0.21155996,5,RBCK1
MEA1,1.55E-05,0.330317243,0.259,0.12,0.212770968,5,MEA1
RAB7A,1.63E-05,0.313485025,0.519,0.3,0.222880661,5,RAB7A
OS9,1.73E-05,0.283112274,0.272,0.128,0.237495419,5,OS9
PTGES32,1.79E-05,0.427578303,0.586,0.397,0.245337593,5,PTGES3
IKZF1,1.84E-05,0.34454776,0.296,0.145,0.252669388,5,IKZF1
ATP5F1,1.99E-05,0.325982776,0.593,0.359,0.272476991,5,ATP5F1
PFDN2,2.16E-05,0.294556634,0.346,0.186,0.296760241,5,PFDN2
C19orf10,2.46E-05,0.320631842,0.389,0.207,0.337446729,5,C19orf10
NUCB1,2.47E-05,0.46836728,0.327,0.167,0.338905317,5,NUCB1
NAPA,2.50E-05,0.589029665,0.253,0.124,0.343090901,5,NAPA
CCM2,2.51E-05,0.289405749,0.272,0.131,0.344022893,5,CCM2
SSNA1,2.60E-05,0.414162082,0.395,0.213,0.356538558,5,SSNA1
MYEOV2,2.63E-05,0.391285561,0.395,0.218,0.361061105,5,MYEOV2
RAP1A,2.77E-05,0.26386412,0.549,0.311,0.380060213,5,RAP1A
LIMS11,2.79E-05,0.34080221,0.29,0.147,0.383004271,5,LIMS1
RALY1,2.82E-05,0.687997812,0.407,0.216,0.387239165,5,RALY
NDUFS3,2.92E-05,0.458130011,0.302,0.156,0.400077127,5,NDUFS3
SNX17,2.98E-05,0.846825369,0.383,0.208,0.408391341,5,SNX17
WBP2,3.16E-05,0.313770924,0.29,0.145,0.433956508,5,WBP2
TMEM1471,3.57E-05,0.340747018,0.346,0.183,0.490033332,5,TMEM147
RNF71,3.75E-05,0.263773353,0.432,0.239,0.514462038,5,RNF7
AKR1A1,3.84E-05,0.315072001,0.284,0.14,0.526257691,5,AKR1A1
DCTN3,4.47E-05,0.76089941,0.407,0.222,0.613222703,5,DCTN3
PABPC4,4.54E-05,0.406101988,0.259,0.126,0.622749857,5,PABPC4
LCP2,4.60E-05,0.661730227,0.259,0.126,0.630448829,5,LCP2
ARL4A,4.77E-05,0.50643814,0.278,0.146,0.654635352,5,ARL4A
ARPC4,5.49E-05,0.285767785,0.519,0.303,0.752901426,5,ARPC4
GPX41,6.55E-05,0.347464471,0.747,0.531,0.897765497,5,GPX4
UQCRQ1,6.85E-05,0.388108331,0.469,0.282,0.939029792,5,UQCRQ
ATRAID,7.37E-05,0.528904716,0.469,0.265,1,5,ATRAID
NDUFS4,7.58E-05,0.346881421,0.253,0.126,1,5,NDUFS4
GRK61,8.03E-05,0.526108283,0.333,0.18,1,5,GRK6
STK17B,9.96E-05,0.274585978,0.352,0.187,1,5,STK17B
UBC1,0.00010394,0.297424319,0.963,0.846,1,5,UBC
HM13,0.000105583,0.458730586,0.259,0.134,1,5,HM13
FDX1,0.000114264,0.443626571,0.278,0.147,1,5,FDX1
FBXW5,0.000114652,0.317873351,0.253,0.127,1,5,FBXW5
LDHA1,0.000114816,0.471185685,0.722,0.478,1,5,LDHA
COMMD7,0.000117795,0.282954325,0.302,0.159,1,5,COMMD7
FKBP8,0.000127867,0.31978677,0.506,0.303,1,5,FKBP8
ATP5I1,0.000127883,0.346805412,0.469,0.277,1,5,ATP5I
CD631,0.000128792,0.258198702,0.531,0.333,1,5,CD63
TAF9,0.000129057,0.49953363,0.29,0.155,1,5,TAF9
MRPL541,0.00013227,0.402545701,0.377,0.216,1,5,MRPL54
C19orf70,0.00014572,0.487297812,0.37,0.214,1,5,C19orf70
DSTN2,0.000151328,0.392877071,0.34,0.189,1,5,DSTN
PDCD51,0.000171055,0.392214893,0.327,0.177,1,5,PDCD5
CYC11,0.000184016,0.443058692,0.327,0.185,1,5,CYC1
RNF114,0.000201293,0.36054047,0.253,0.128,1,5,RNF114
NDUFA1,0.000220326,0.305255549,0.543,0.319,1,5,NDUFA1
PTPRC1,0.000228425,0.253661683,0.66,0.442,1,5,PTPRC
NDUFA6,0.000230444,0.382661967,0.29,0.158,1,5,NDUFA6
PDIA6,0.000244168,0.281686025,0.401,0.229,1,5,PDIA6
PRKAR1A,0.000250643,0.274167429,0.309,0.166,1,5,PRKAR1A
RHOF,0.000260683,0.316210358,0.302,0.164,1,5,RHOF
ZMAT2,0.000269845,0.292430611,0.309,0.17,1,5,ZMAT2
CHMP1B1,0.000277228,0.571640076,0.438,0.25,1,5,CHMP1B
MYL12B2,0.000277884,0.404848462,0.901,0.688,1,5,MYL12B
MAP1LC3B,0.00030542,0.290054858,0.414,0.241,1,5,MAP1LC3B
DAP3,0.000331812,0.297332082,0.302,0.167,1,5,DAP3
PPP1R7,0.000341649,0.265568733,0.327,0.177,1,5,PPP1R7
BAZ1A,0.000348466,0.309642893,0.358,0.207,1,5,BAZ1A
NDUFB12,0.000385397,0.421188928,0.302,0.171,1,5,NDUFB1
GIMAP2,0.000426477,0.400188544,0.333,0.187,1,5,GIMAP2
PAIP2,0.00043163,0.352407447,0.488,0.306,1,5,PAIP2
BLOC1S21,0.000454285,0.384575926,0.278,0.155,1,5,BLOC1S2
CAPG1,0.000467907,0.320928059,0.377,0.223,1,5,CAPG
DNAJC15,0.000487044,2.954077042,0.253,0.138,1,5,DNAJC15
SNRPD1,0.000545174,0.427130675,0.346,0.206,1,5,SNRPD1
TMEM258,0.000581635,0.267792766,0.512,0.317,1,5,TMEM258
NDUFA111,0.000655719,0.39867894,0.63,0.399,1,5,NDUFA11
BCAP31,0.00075132,0.255738554,0.444,0.275,1,5,BCAP31
TEX264,0.000784752,0.386658374,0.278,0.158,1,5,TEX264
NDUFB2,0.000831478,0.317474867,0.531,0.337,1,5,NDUFB2
PSMB71,0.000840106,0.291118937,0.494,0.304,1,5,PSMB7
ADRM1,0.000859849,0.302753226,0.296,0.168,1,5,ADRM1
PUF60,0.00092856,0.28359618,0.278,0.155,1,5,PUF60
ATP5L1,0.000968714,0.262516192,0.858,0.689,1,5,ATP5L
SDHD,0.000971754,0.269841715,0.327,0.187,1,5,SDHD
UBL51,0.000997478,0.30747745,0.636,0.433,1,5,UBL5
EIF1B,0.001003748,0.420956583,0.315,0.183,1,5,EIF1B
IFI27L21,0.001019781,0.282044234,0.272,0.157,1,5,IFI27L2
APBB1IP,0.001088519,0.581604441,0.278,0.156,1,5,APBB1IP
COPE1,0.001089887,0.410506187,0.66,0.423,1,5,COPE
UBXN1,0.00136476,0.420857657,0.747,0.496,1,5,UBXN1
SIVA1,0.001681842,0.752237713,0.358,0.214,1,5,SIVA1
DBI,0.001702343,0.35145526,0.525,0.345,1,5,DBI
YPEL5,0.001702844,0.644270104,0.519,0.326,1,5,YPEL5
RASSF51,0.001870889,0.278638928,0.296,0.176,1,5,RASSF5
SMIM7,0.002075885,1.010132254,0.272,0.155,1,5,SMIM7
NCL,0.002463448,0.466977975,0.383,0.23,1,5,NCL
SOD12,0.002662798,0.410411388,0.673,0.502,1,5,SOD1
CCT7,0.002811148,0.634511512,0.309,0.188,1,5,CCT7
C1orf63,0.003109388,0.84274909,0.296,0.173,1,5,C1orf63
MX1,0.00374842,0.369064505,0.346,0.21,1,5,MX1
SSB,0.005661387,0.334586093,0.364,0.225,1,5,SSB
COPS6,0.008366612,0.453566563,0.302,0.186,1,5,COPS6
GZMB1,7.95E-269,5.977437022,0.961,0.068,1.09E-264,6,GZMB
FGFBP21,3.41E-237,5.404509023,0.877,0.062,4.67E-233,6,FGFBP2
SPON2,4.16E-219,5.711482154,0.729,0.039,5.71E-215,6,SPON2
PRF11,4.85E-206,5.152320846,0.948,0.107,6.65E-202,6,PRF1
GNLY1,3.13E-191,5.959385858,0.961,0.131,4.30E-187,6,GNLY
AKR1C3,8.10E-179,6.221917366,0.471,0.013,1.11E-174,6,AKR1C3
XCL2,6.29E-175,5.357341397,0.535,0.022,8.62E-171,6,XCL2
CLIC3,5.40E-169,5.270450182,0.568,0.029,7.41E-165,6,CLIC3
CST71,4.21E-155,3.865360155,0.948,0.149,5.77E-151,6,CST7
KLRD1,3.06E-154,4.818095468,0.542,0.03,4.20E-150,6,KLRD1
GZMA1,5.93E-149,3.733846209,0.929,0.152,8.13E-145,6,GZMA
NKG71,6.09E-140,4.227755273,1,0.255,8.35E-136,6,NKG7
CCL41,5.29E-138,4.792286992,0.71,0.077,7.25E-134,6,CCL4
TTC38,3.06E-136,5.081310369,0.458,0.023,4.20E-132,6,TTC38
PRSS23,4.30E-132,5.073155809,0.4,0.015,5.90E-128,6,PRSS23
XCL1,1.43E-125,5.30070662,0.361,0.012,1.96E-121,6,XCL1
CTSW1,8.85E-125,3.364275877,0.987,0.257,1.21E-120,6,CTSW
SH2D1B,5.38E-112,6.065475031,0.29,0.007,7.38E-108,6,SH2D1B
FCGR3A1,7.20E-111,2.744222536,0.839,0.145,9.87E-107,6,FCGR3A
IGFBP7,3.67E-109,5.188304357,0.548,0.058,5.04E-105,6,IGFBP7
GZMH1,2.84E-108,3.002975313,0.619,0.068,3.89E-104,6,GZMH
IL2RB,1.11E-101,4.109773194,0.471,0.041,1.52E-97,6,IL2RB
KLRF1,5.15E-98,5.425378256,0.271,0.008,7.07E-94,6,KLRF1
S1PR5,6.83E-95,4.204385279,0.374,0.024,9.37E-91,6,S1PR5
CD2471,8.43E-95,3.510472212,0.858,0.231,1.16E-90,6,CD247
APMAP1,3.53E-94,3.300825251,0.626,0.091,4.85E-90,6,APMAP
HOPX1,7.99E-87,3.45890808,0.658,0.117,1.10E-82,6,HOPX
GPR56,4.01E-85,4.439221624,0.316,0.018,5.50E-81,6,GPR56
MATK,6.82E-85,3.492223286,0.452,0.046,9.36E-81,6,MATK
GZMM1,5.98E-84,2.926116326,0.806,0.209,8.20E-80,6,GZMM
C1orf21,7.60E-81,4.459950271,0.297,0.017,1.04E-76,6,C1orf21
PLEKHF1,4.63E-76,3.951009433,0.348,0.028,6.34E-72,6,PLEKHF1
HLA-C1,9.60E-72,1.241303653,1,0.98,1.32E-67,6,HLA-C
B2M2,1.09E-68,0.940562394,1,1,1.49E-64,6,B2M
TBX21,2.64E-62,3.88722517,0.31,0.028,3.62E-58,6,TBX21
PTGDR,1.33E-61,4.379605932,0.316,0.03,1.83E-57,6,PTGDR
CD73,2.17E-61,2.294015232,0.865,0.337,2.98E-57,6,CD7
HAVCR2,3.06E-61,4.736454801,0.31,0.03,4.19E-57,6,HAVCR2
TPST21,3.86E-61,2.657683089,0.568,0.117,5.29E-57,6,TPST2
HLA-A2,6.46E-56,1.155785975,1,0.963,8.85E-52,6,HLA-A
PLAC81,1.32E-54,2.090016085,0.877,0.432,1.81E-50,6,PLAC8
FCRL6,5.77E-51,3.596318579,0.252,0.022,7.91E-47,6,FCRL6
HLA-B1,3.02E-47,0.984258058,1,0.945,4.14E-43,6,HLA-B
ITGB23,1.32E-45,1.976790933,0.845,0.448,1.81E-41,6,ITGB2
CTSC2,3.33E-45,1.970973521,0.697,0.241,4.57E-41,6,CTSC
CD632,1.95E-44,2.096264054,0.748,0.32,2.67E-40,6,CD63
NCR31,3.85E-44,2.574939808,0.406,0.075,5.29E-40,6,NCR3
ID22,1.13E-43,1.841557075,0.819,0.36,1.55E-39,6,ID2
UBB1,1.77E-42,1.399783815,0.955,0.772,2.43E-38,6,UBB
C12orf751,4.94E-42,2.43465965,0.484,0.116,6.77E-38,6,C12orf75
SRGN2,1.45E-40,1.368127191,0.923,0.579,1.99E-36,6,SRGN
RHOC1,1.15E-38,1.938857526,0.568,0.164,1.58E-34,6,RHOC
RARRES33,1.80E-35,1.573050844,0.806,0.451,2.47E-31,6,RARRES3
ARPC5L1,3.78E-35,2.62177461,0.523,0.165,5.18E-31,6,ARPC5L
PFN13,4.52E-35,0.970426531,0.994,0.942,6.19E-31,6,PFN1
SAMD31,6.75E-35,2.977389839,0.413,0.099,9.26E-31,6,SAMD3
CCL51,4.30E-34,1.8703205,0.697,0.293,5.89E-30,6,CCL5
APOBEC3G1,1.43E-33,1.961007873,0.561,0.195,1.96E-29,6,APOBEC3G
CD991,3.61E-33,1.464467371,0.819,0.487,4.96E-29,6,CD99
RAP1B2,1.22E-32,1.609081218,0.71,0.342,1.67E-28,6,RAP1B
CX3CR11,1.35E-32,2.774870755,0.316,0.062,1.85E-28,6,CX3CR1
FCER1G2,1.76E-32,1.077170889,0.839,0.328,2.41E-28,6,FCER1G
PTPRCAP2,3.74E-32,1.109894236,0.91,0.625,5.13E-28,6,PTPRCAP
CHST121,5.83E-32,2.695359081,0.394,0.099,7.99E-28,6,CHST12
EFHD22,6.57E-32,2.023902325,0.516,0.174,9.01E-28,6,EFHD2
MYL12A2,2.33E-31,0.971713188,0.987,0.867,3.19E-27,6,MYL12A
HLA-E1,2.61E-30,1.072954747,0.974,0.882,3.58E-26,6,HLA-E
HCST1,3.90E-29,1.48487214,0.813,0.523,5.34E-25,6,HCST
PLEK2,4.20E-29,2.202594036,0.471,0.151,5.76E-25,6,PLEK
ZAP701,8.64E-29,2.257577891,0.426,0.126,1.19E-24,6,ZAP70
CD300A1,1.00E-28,2.549706713,0.394,0.111,1.37E-24,6,CD300A
CLIC13,3.97E-27,1.29820567,0.897,0.629,5.45E-23,6,CLIC1
ASCL2,9.48E-27,2.860612925,0.265,0.053,1.30E-22,6,ASCL2
IFITM12,1.68E-26,1.490247934,0.774,0.458,2.30E-22,6,IFITM1
PDIA32,1.19E-25,1.565610721,0.632,0.32,1.63E-21,6,PDIA3
ABHD17A,1.57E-25,2.758620759,0.252,0.05,2.15E-21,6,ABHD17A
ALOX5AP1,1.81E-25,2.090511783,0.529,0.216,2.48E-21,6,ALOX5AP
CCL31,2.73E-25,2.371476181,0.406,0.124,3.75E-21,6,CCL3
AOAH1,3.08E-25,2.277540322,0.374,0.111,4.23E-21,6,AOAH
IFITM21,4.20E-25,1.018121475,0.923,0.696,5.76E-21,6,IFITM2
C5orf56,5.12E-25,2.163776418,0.374,0.109,7.02E-21,6,C5orf56
BST22,1.66E-24,1.261971867,0.748,0.431,2.28E-20,6,BST2
CFL12,2.84E-24,0.74974015,0.994,0.911,3.89E-20,6,CFL1
PPP1R181,5.00E-24,1.79107182,0.574,0.267,6.86E-20,6,PPP1R18
RAC2,1.37E-23,1.346607934,0.858,0.639,1.88E-19,6,RAC2
XBP11,6.87E-23,1.982471257,0.574,0.268,9.42E-19,6,XBP1
ABI31,1.21E-22,1.840276901,0.439,0.161,1.65E-18,6,ABI3
TYROBP2,2.01E-22,0.417210263,0.897,0.366,2.76E-18,6,TYROBP
MYO1F3,3.88E-22,1.810934536,0.516,0.22,5.32E-18,6,MYO1F
ARL4C2,7.31E-22,1.835828853,0.465,0.182,1.00E-17,6,ARL4C
CD532,1.64E-21,1.215985362,0.819,0.531,2.24E-17,6,CD53
CALM12,1.70E-21,1.046727841,0.865,0.666,2.33E-17,6,CALM1
UBE2F1,1.99E-21,1.913440087,0.368,0.12,2.73E-17,6,UBE2F
LITAF1,2.23E-21,1.534791416,0.587,0.295,3.05E-17,6,LITAF
DHRS71,4.67E-21,1.597429801,0.581,0.304,6.41E-17,6,DHRS7
ARPC22,1.29E-19,0.781350668,0.923,0.795,1.77E-15,6,ARPC2
CTSD2,5.71E-19,1.438144918,0.51,0.226,7.82E-15,6,CTSD
Sep 71,8.10E-19,1.592279554,0.594,0.323,1.11E-14,6,Sep 07
PSMB10,8.66E-19,1.475666275,0.606,0.34,1.19E-14,6,PSMB10
TXNIP1,4.63E-18,0.884435796,0.871,0.752,6.34E-14,6,TXNIP
SDF4,2.10E-17,2.038438701,0.329,0.114,2.87E-13,6,SDF4
ANXA61,3.12E-17,1.256495139,0.542,0.28,4.28E-13,6,ANXA6
UCP21,4.66E-17,1.107639744,0.761,0.549,6.40E-13,6,UCP2
BIN22,9.98E-17,1.543011623,0.6,0.355,1.37E-12,6,BIN2
CMC1,1.78E-16,2.068506773,0.271,0.082,2.44E-12,6,CMC1
CYBA2,2.04E-16,0.669634866,0.961,0.84,2.80E-12,6,CYBA
SERF22,3.60E-16,0.674333941,0.948,0.851,4.94E-12,6,SERF2
GLIPR21,2.19E-15,1.533245191,0.445,0.211,3.00E-11,6,GLIPR2
CCND32,2.54E-15,1.165598174,0.606,0.401,3.48E-11,6,CCND3
C9orf1421,4.31E-15,1.440482312,0.465,0.228,5.90E-11,6,C9orf142
ACTB2,6.92E-15,0.609219107,1,0.992,9.49E-11,6,ACTB
PSME22,8.76E-15,0.994071731,0.748,0.542,1.20E-10,6,PSME2
NDUFB21,2.72E-14,1.581473352,0.561,0.336,3.73E-10,6,NDUFB2
LAMP1,4.16E-14,1.674881914,0.406,0.191,5.70E-10,6,LAMP1
BZW1,5.37E-14,1.611829169,0.361,0.152,7.36E-10,6,BZW1
IL2RG2,1.15E-13,1.201446708,0.645,0.428,1.58E-09,6,IL2RG
PSME1,1.98E-13,0.648789323,0.852,0.731,2.72E-09,6,PSME1
MYL62,2.11E-13,0.547267656,0.948,0.847,2.89E-09,6,MYL6
BSG1,2.66E-13,1.391685472,0.452,0.237,3.65E-09,6,BSG
HSPA52,3.39E-13,1.500487085,0.4,0.188,4.64E-09,6,HSPA5
DRAP11,5.07E-13,0.88622733,0.671,0.454,6.96E-09,6,DRAP1
PRMT2,7.92E-13,1.567300761,0.413,0.206,1.09E-08,6,PRMT2
CALR1,9.81E-13,1.451824672,0.477,0.268,1.35E-08,6,CALR
ITGB7,1.11E-12,1.551925933,0.316,0.13,1.52E-08,6,ITGB7
PSMB81,1.40E-12,1.124642429,0.665,0.447,1.93E-08,6,PSMB8
DBI1,1.56E-12,1.095951924,0.555,0.344,2.13E-08,6,DBI
SELT1,3.04E-12,1.254834064,0.49,0.289,4.17E-08,6,SELT
CD164,4.15E-12,1.30349301,0.529,0.333,5.69E-08,6,CD164
PPIA1,1.85E-11,0.673330351,0.839,0.737,2.54E-07,6,PPIA
CISD3,2.04E-11,1.818085728,0.29,0.118,2.80E-07,6,CISD3
SH3BGRL33,2.46E-11,0.490370428,0.955,0.853,3.37E-07,6,SH3BGRL3
PPP1CA1,3.07E-11,0.934772158,0.671,0.51,4.21E-07,6,PPP1CA
ANXA13,3.13E-11,0.72089821,0.787,0.581,4.29E-07,6,ANXA1
